date,artificial intelligence,crime,education,elections,entertainment,environment,finance,health,immigration,international relations,pandemics,politics,protests,science,sports,technology,videogames,war,users,new_users,num_likes,num_posts,num_images,num_follows,num_blocks
2023-05-08,,,,,,,,,,,,,,,the tradition golf international winner steve stricker,,,,31522.0,0.0,303713,96170,15795,133304,10508
2023-05-09,,,,,,cyclone mocha forms in the indian ocean killing over people and injuring over as it strikes myanmar and bangladesh,,,,,,,,,,,,,33644.5,2122.5,343903,104332,16544,186202,9366
2023-05-10,,,,karnataka legislative assembly election,,,,,,,,,,,italian open tennis international winner men daniil medvedevwomen elena rybakina,,,,35767.0,2122.5,323549,103302,16939,129780,9851
2023-05-11,,,,,,,,the world health organization ends its declaration of mpox being a global health emergency,,,us president biden formally ends the declaration of covid pandemic in the country as a public health emergency,,,the discovery of new moons of saturn is reported taking its total confirmed number to and overtaking jupiter,,,,,37889.5,2122.5,308078,100859,16106,100698,11493
2023-05-12,,,,,,,,,the title expulsion policy expires at midnight creating a question about whether a new immigration policy would be formed as a replacement this comes as a surge of migrants gather at the us southern border,,,,,,basketball champions league final four basketball continental winner telekom baskets bonn,,,,40012.0,2122.5,327842,108722,17861,115048,9527
2023-05-13,,,,,,,,,,,,,li haoshi controversy,,world athletics relays athletics international winner postponed,,,,44295.0,4283.0,333980,106949,18465,99574,9024
2023-05-14,,,,bremen state election thai general election thai general election albanian local elections,,,,,,,,turkish parliamentary election turkish parliamentary election,,,uefa womens under championship association football continental winner france,,,,48578.0,4283.0,304724,91222,16185,72891,10307
2023-05-15,,,,,,,,,,,,,,,,,,,52861.0,4283.0,305288,95398,14932,102098,10661
2023-05-16,,,,,,,,,,,,north carolinas state legislature bans nearly all abortions after twelve weeks overriding a veto by governor roy cooper,,,,a software tool called allegro is reported to accurately simulate million atoms running on the perlmutter supercomputer,,,57144.0,4283.0,324461,102864,15809,88620,6909
2023-05-17,,,,,,,,,,,,,,,uefa european under championship association football continental winner germany,,,,61427.0,4283.0,354759,107060,15734,75122,5697
2023-05-18,,,,,,,,,,,,,,,pga championship golf international winner brooks koepka,,,,65710.0,4283.0,323564,102536,15580,71784,6560
2023-05-19,,,,,,,,,,,,,,,euroleague final four basketball continental winner real madrid south american u championships in athletics athletics continental winner brazil,bluesky user faq welcome to the bluesky app this is a user guide that answers some common questions,,,69993.0,4283.0,308428,101084,15624,78451,8814
2023-05-20,,,,,,,,,,,,,,,fifa u world cup association football international winner uruguay,,,,74276.0,4283.0,269138,88191,15389,64005,4621
2023-05-21,,,,,,,,,,,,east timorese parliamentary election east timorese parliamentary election,,,emilia romagna grand prix formula racing international winner cancelled,ibm announces that it will begin development of a qubit quantum computer the worlds largest and most powerful to be completed by,,,78559.0,4283.0,272245,86754,14115,71707,4812
